Serbian,English
da,Yes
je,is
ne,not
se,se
i,and
u,in
to,that
sam,am
na,on the
ti,you
mi,we
za,For
si,you
li,li
šta,what
što,a table
ja,me
ali,but
sa,with
su,are
nije,it's not
ovo,this
samo,only
me,me
te,you
od,from the
a,a
ga,him
bi,would be
kako,How
o,about
dobro,Okay
ako,if
sve,all
smo,we are
kao,like
će,will
tako,so
znam,I know
nisam,I'm not
mogu,I can
ste,you are
ovde,here
pa,well
bio,was
zašto,why
s,s
on,he
još,still
nešto,something
bilo,there were
redu,order
biti,to be
koji,which one
kad,when
vas,yours
ću,I will
hvala,thanks
iz,from
mislim,I think
ima,has
ili,or
znaš,You know
možda,Maybe
ih,them
više,more
onda,then
sada,now
vam,you
zar,do you
gde,where
да,Yes
do,to the
bih,should
treba,should
moj,my
mu,mu
rekao,said
bila,been
malo,a bit
kada,when
nema,does not have
ništa,nothing
nas,our
mene,me
ko,who
ona,she
је,is
tebe,you
molim,please
sad,USA
ni,neither
hajde,come on
tamo,there
može,can
možeš,You can
imam,I have a
zbog,because
vi,You
nam,us
želim,wish
tu,here
hej,hey
nisi,you are not
stvarno,real
jesi,Are
jer,for
svi,all of
po,as per
zato,therefore
baš,right
ljudi,people
moram,I have to
koliko,how much
ćemo,we will
misliš,you mean
već,already
jedan,one
stvari,things
idemo,here we go
pre,before
moja,my
ćeš,you will
nego,than
koje,who is
dok,while
neće,will not
uvek,Always
bez,without
oh,oh
naravno,of course
toga,that
ono,what
imaš,have
mnogo,much
joj,her
možemo,we can
ovaj,this one
neko,someone
oni,they
gospodine,Sir
vreme,time
taj,that
dana,of the day
kod,code
koja,which
tvoj,yours
zdravo,Hello
reći,to tell
moje,mine
znači,mean
tome,to that
posao,a job
nikad,never
žao,evil
hoćeš,you will
rekla,say
bolje,better
godina,year
imamo,we have
mogao,Could
put,the road
jeste,is
vidim,I see
dan,day
mora,must
radi,because of
izgleda,looks like
neću,I will not
moramo,we must
želiš,you want
nemoj,do not
bude,be
bili,be
kažem,I say
ovdje,here
radiš,you're doing
meni,the menu
idem,I'm going to
bože,god
mama,mum
не,not
moraš,you must
ok,OK
daj,give
dobar,Good
tata,dad
vidi,see
volim,I love
се,se
im,and M
у,in
život,Life
kući,home
reci,to tell
и,and
svoje,its
dva,two
njega,him
trebalo,needed
stvar,thing
nisu,they are not
mislio,thought
vremena,times
imao,had
evo,here is
danas,today
znate,you know
nikada,never
zna,knows
odmah,immediately
tvoja,yours
možete,you can
toliko,so many
neka,let
kaže,says
neki,some
video,video
tri,three
tim,the team
tobom,you
čak,even
ime,Name
veoma,very
то,that
koju,which
hoću,I will
čemu,what
niko,no one
oko,eye
svoju,mine
žena,woman
tvoje,yours
opet,again
upravo,right on
svoj,all
mnom,me
jesam,I did
ide,it's going
сам,am
nismo,we are not
idi,go
sigurno,safe
vidimo,we see
jednom,one time
radim,I'm working
ove,these
god,yr
vidiš,you see
postoji,exists
nemam,do not have
gdje,where
otac,Father
ta,ta
kažeš,you say
čovek,man
tebi,You
puno,A lot
znao,knew
lepo,nicely
želi,wants
puta,times
godine,years
čekaj,Wait
pravu,real
jako,me who
prvi,First
novac,Money
dovoljno,enough
sutra,tomorrow
izvini,Excuse me
dalje,further
zajedno,together
dušo,honey
sebe,yourself
drugi,the second
njih,them
došao,come
dosta,Enough
problem,issue
imate,you have a
g,g
prema,according to
ova,this one
odavde,out of here
mesto,place
koga,whom
ovamo,here
slušaj,listen
jedna,one
vrlo,very
drago,glad
uradio,do
način,the way
desilo,happened
sranje,Shit
budem,be
pomoći,help
ponovo,again
ma,ma
mogla,could
